	好了，哥几个。声音行吗？声音。
	行，这是第二个问题，咱们解答完了，第三个就是咱们就来讲怎么在坑里面起好货，好吧，怎么在坑里起好货？首先，咱们来看一下说。哎。
	第四次了是吗？不是有很多人不断的进进这个直播间，对吧？咱们就是说得得大家别错过别别错过。就是不能说我一个月我怕在你们面前吧唧嘴，你们就觉得我老了，明白吗？这么就该表态要表态的，要要该表态要表态的，来咱们那个来，我要看看这是。来了，你看。
	咱们先来几个那什么。我就我先咱们先做几道题好不好？是没图，别着急，没开始是没图，咱们先做几张几个作业好不好？先做几个作业。
	把我放在一个小角落。
	这边都挡住了，是吧？可以，来，这张图咱们看一下，咱们一起做个作业，这张图。这天是勾-1.73，看起来像大幅值了，对吧？这张图干不干？这张图伦不伦就是我我带你们做点做做做做做做作业，因为有些人不会选股，这张图轮不轮这张图，知道的别把个股名字打出来，不要打啊不要打，别打名字。
	这图干不干？不干是吧是不是不干？不干的理由在于什么？在于一直高点不断降低，对吧？所以说底部这根本有一个支撑线，但是感觉是不是要破位了，是吧？大爷图对不对？是不是大野图，然后来又出现一根这个对不对？然后来翻上来了6%再来，15%，15%。
	所以说你他妈今天踏空一个这玩意儿，你这叫踏空吗？你有什么依据干？哥们儿你这叫叫踏空吗？你有依据吗？对不对？非银金融你要这么干的话，之前就说实话，你他妈你的账户都坚持不到今天。哥们儿你要这么干，你的账户坚持不到今天。明白吗？
	这有什么依据？没依据就是赌，就赌它不会破费，就是赌，但是在过往半年里边，好多票都是这样的。
	我再给你扒拉一个，我再给你扒拉一个。
	来。这个玩意儿勾在负值区间，这能不能干？这能不能干？哥儿几个啊，这能不能干，你们感受一下。
	不干对吧，是不是不干，为什么高点降低，低点降低，对不对？看了吗？看没看见？我跟你们讲，不干是对的，不干是对的，为什么呢？是因为你要这儿干了的话，你要是这儿干的话，那你他妈这儿你也干了，对吗？
	就是你这儿你也干了，要不然你没依据，你这儿你也干了，对吧？你干完那就这样，你就止损吗？你坚持不到这一天的，我这天你他妈坚持到了，后面又给你一根跌回来，对不对？然后你们你要那儿干的话，你再等等等等等。你这儿也得干，又下来了，对不对？又B一了，然后那么又又打止损了，然后一根一破位之后，你刚一卖8后面起来了，对吧？所以说这是叫什么呢？就这一波你干不上是正确的，是很就没有问题。
	这叫太阳出来我爬山坡，明白吗？这个叫太阳出来我爬山坡，那后面怎么上车呢？就是在这儿找上车机会了，对不对？太阳出来我爬山坡，对不对？
	爬到山山坡，爬到山坡，我想唱个歌，我想唱个歌，对吧？底下他妈的九齿钉耙，你只能补票，因为太阳出来我想唱歌，太阳出来我爬山坡，爬到山坡我想唱歌，对吧？歌声唱给妹妹听，对不？对唱的美美的笑呵呵，就这意思看到了吗？就是说你这就你这在这个位置起来到这儿，不要觉得自己踏空了，你没有依据。
	哥们儿，因为同一时间在这种图形高点下跌低下跌市场里边还他妈有四千多只票，还有四千多只票。但是你就他妈太阳出来，我想那太阳出来我爬山坡，你让他爬山坡，对不对？他爬完山坡之后，你就踏踏实实的，你在这找一个，这不单真现实实完美，对吗？你找一个九齿钉耙，几尺，一尺、2尺33指钉耙，横在BBI线上面，这稳稳当当，对不对？你不这不这不上来一路他妈就起飞，是不是他踏踏实实的，就都有办法，再跟你说一遍，都有办法补票啥意思？股票是单帧下20，哥们儿你是新人是吗？然后这个来，然后再给你们来一个。
	来比如这根，当增下不是不当增下，那个那个勾大幅值，勾大幅值论不论，这你论不论。这抡抡抡不抡这个图形。
	嘿。
	我们之间并不是引领很多人说干是吧？因为你们看到这是是是什么票了，对吧？但是所有我说，你们说干的跟我没关系，你你你不是咱这个Z家军门派的，因为没有依据，没有什么依据，在我的理论体系内，没有任何的依据。所以说你要是干你就赌，你就博，为什么？
	因为在历史上你你这那也也得干你这你你这个点的位置不一，你这也得干，对吧？你说低点抬高，那你你你你也得干。那这个位置的话，在这个位置你也得干，在这位置你也能干，这还有个逼，你也能干对吗？你也能干，就在这位置你也能干，咱说这张图你也能干，对吧？也能干，但是干的就这样。你要是拿着不动的话，后面来一根大，然后也回不来。
	所以说再说一遍，就今天你觉得你踏空的那就是你去想一下，今天能赚到钱的非银金融，给大盘指数，但因为这个板块就是涨一涨大盘指数就会涨。所以你知道要么你是一路从上面套下来的，你每个B一都加仓了。然后要不然就是你在这个位置上，你有足够多的依据说我这位置我肯定买，就这种图形出了一个B一就等于说一天里边你选股选出来勾到大幅值的就是勾小于0。然后你扒拉所有图形，你扒拉到这儿了，你说今儿1 800个票都是下20的，我就挑这个，我明儿我就干腌的，我他妈就重仓干腌的。
	我说了，就是你要赚到钱了，我恭喜你，但是我没这水平。哥们儿我真没这水平。为什么？因为咱们是往后，咱们是回看，因为你当天你自己拿通达信，你去选一个勾下20，不那个勾下零的票，可能在当这一天里边有八百多个或者六百多个，或者有他妈1100多个。所以说那你你找你找不是说你对这玩意儿有有信仰，但是咱有话说回来说，说八百多个你就能选择他。那你运气好说，如果不是说我他妈就是跟他有信仰，那行，哥们儿没问题。你现在赚钱了吗？是吧？
	因为你要对他有信仰的话，等于说你是一路第一，你这儿也第一了，对吧？买买买，这儿又第一了，又加仓，然后这儿他妈再又第一又又加仓，然后下来一下这B一又加仓对吧？然后这儿又B一又又加仓，然后说然后直接就到这儿了，然后到这儿到这儿到这儿走走走走走走走走走走走走走，这儿又又加把仓到这儿又又加满仓到这儿回。那只能你是一路靠信仰这么下，但是你可能还没回本，如果你要从下面套下来的话，所以我的意思什么意思？就是说你这是赶上他妈大盘起来，没有什么系统性风险。
	但你要是赶上最后那一波的时候，就比如这把到了4500、3900，或者说合到4500，或者到4900、4700，就那就那一波的时候，正好是到这儿的时候，你跟这儿叭嚓进去，你说地点抬高，说这是个骑行整理。刚才不有人说顺着骑行整理吗？这他妈也是一个非常好看的骑行整理的图形。这样扒拉到这儿，然后把提提那个切那个楔形整理，这也是骑行整理三角形三三角形吗？这同时又有个B1，对吧？
	咱我我就说我跟你们讲分享的所有的东西都是第一原则是什么？第一原则都是安全第一，就是宁可我他妈不被套里边，就是宁可我他妈不亏钱，不宁可我不赚钱，我也别他妈陷入其中。所以这是我今天最想跟大家说的，就是说这是有两根起来，要没有没有了你到这儿你一路加仓下来，你不一直被套吗？就跟有些人清官一样，对吧？那么你不就一路他妈的逼买下来吗？一连续动画你不一路买买下来吗？对不对？
	所以说这个我说了，刚才说你们如果说这个玩意儿，就这个玩意儿你们是在这儿，你们敢买，你们敢买我的，但是这确实不是我的玩法，所以我觉得这个就是怎么说呢？就是再感受行吗？再沉沉淀沉淀。
	然后再来一个。
	比如你看这个比如你看这个图形到这儿，大负值负十1干不干？这个负十一干不干？目前来讲。
	你们不要猜我的答案，你们就看图说话。这干不干？满屏不干对吧？你他妈的满屏不干，你踏空了，你他妈有什么可抱怨你今天踏空，你有什么理由抱怨今天踏空呢？对吗？
	咱说如果这是他妈泡泡的图形，你不干或者我不干，今天泡泡拉了15%，那我他妈我我我我我我他妈毁毁死对吧？你他妈这个不不，你他妈不敢干你他妈怎么就踏空呢？你的依据是什么？所以我说今天咱们自己人我还是就外面没人给你讲这些东西，他们只会利用大众的这种心态说你们愿意听的，然后感觉跟你们能共情，觉得怎么样。其实完全他妈赚不了钱，赚不到钱咱就说你这怎么干你干得了吗？对吧？
	满屏不干，连他妈说干的都没有，可能有个别我没看见。那就是今儿长得就是他今儿涨，就是他你踏空了吗？你怎么踏空？你遗憾吗？对吗？哥们儿，你遗憾吗？
	然后你看这玩意儿还是什么，从这儿22块08，最高点到下面最大回撤28%，28%，最大回撤28%点。这个18.7块到这儿20%，少8%点多，同时高位横住，然后还是低点比低点抬高。你说你这玩意儿拿着不比拿那个吻吗？就从概率上来讲对吗？
	然后你这个玩意儿在哪儿呢？你这个在前高的位置，前高18.7块，你在17.4块，对吗？兄弟，你在17.4块，你在前高，他在哪儿呢？前高是36.25块，他在28。你抱怨就是你抱怨说你你你踏空了，你踏毛线，你的你发财也没跌，兄弟。所以心态真的就是说就是为什么机构跟散户差别很大呢？
	就在心态，你再看这个玩意儿，操你再看这玩意儿对吧？之前在这儿的时候，高位下来套21%百对吗？你这么前高在22，这儿在17。兄弟比如他今天你说没人长得高，是不是？他也没没别人跌的多，懂吗？就永远是一个均值的，所以这块我只是通过作业的形式让你们切身的沉浸其中。
	你觉得说今天你踏空这玩意儿，你说你你你有问题吗？哥们儿这叫踏空吗？如果说今天再说遍这个图形，比如放在这儿，咱们走的特别好的图形，比如说什么能找。
	比如这个图形比如这个图形出来。然后今天八创新高了，这他妈叫踏空，明白吗？说我操我悔死了，我操他妈的，我他妈干嘛呢？没有知行合一，这他妈叫踏空。明白大家。所以就是两种，就是追逐属于你的盈利模式的那种。
	你的交易策略出现了，你没买傻逼，这叫踏空，明白吗？就比如说未来如果有一这玩意儿勾大幅值对不对？有一个大幅值就这样了，你没干说看懂了，看懂了基本面儿知道吗？知道技术面出来了，知道止损是止损就设在这儿，122，设一把，设120，没了就没了止损。你说收盘这边没有破，对不对？还涨了。那到这儿你说这一把如果你没吃到这一把，那他妈叫踏空，这叫踏空。所以说一定要调整心态，就是你自己认知内该赚的钱没赚到，这叫踏空。
	比如你看这个，咱们讲了无数遍连续温和放量？堆起来之后顶部无量缩量回调。第一，同时是不是我给你们画的那个池子，我给你们画的池子，是不是跟娜娜一模一样，讲了他妈一个月娜娜了，讲了一个月娜娜了。刚才给你们看图了，我这儿第一买了一个，这是第二个币，对吧？你他妈忍一天都不忍吗？对吧？双鼻你这不2 20.5块止损，你忍一手，那马上15%，对吧？
	然后88 2天高位横盘，你们不要再追，因为涨起来了，我再说一遍，所以我也不怕轩什么，因为这玩意儿你们不要追了，已经涨起来了，没有任何的入场点。咱就说这意思，现在横在这位置强势横盘，对不对？就是说说说如果说到这儿，说到这儿看明白了没？买傻逼，这叫踏空，明白这意思？这我他妈我不是我他妈跳了，我从B2跳我们家B一跳到他们家逼样了，我他妈跳了。所以就是一定要说在自己认知内没有抓到，那他妈是熄火明白吗？这是叫踏空，一定要对踏空有一个真切的认知。
	什么叫踏空？然后比如有人干的这个对不对？你说这像在这个区间沟大概回到这儿了，一直在B边线跟着磨蹭，不完美对吧？是不是不完美？那不完美，后面三根儿你没转到那么正常的，明白这意思吗？就他妈很正常，但是有人转到了，那我不知道他是哪儿进的。
	前面最完美的肯定是这这个点，这个点1路起来？上升趋势，在这位置勾大幅值，你唯一疑虑的说这放量了，这个放量但没关系，它不是顶部放量，顶部在这儿无量。还没这天的量多，说明这天接的人多，对不对？那么你勾这大拇指，你妈干起来，你们你这是能赚到的。哥们儿，我这不是安慰，我这是跟你们说他妈专业，你要怎么想呢？这不是安慰，我没必要安慰你，我净值创新高，我知行合一，对不对？我没必要安慰你。所以说就等于说说你后面三根儿没转到很正常，因为不在你的策略里边说，如果你的策略就是这儿说Z哥也说了，然后再去聊。
	勾他妈九点几我就干了，那他妈好多勾没到大幅值的，你都干吗？对不对？你你你都干，那你不可能运气这么好，对吧？所以说就是你只做你看得懂的完美的图形就行了。
	比如这玩意儿。比如这玩意儿。这儿。比如这玩意儿，一路起来到这儿，这儿干不干可以干，但这就是我之前说的什么。我之前说的是这个从底部5块61把登到24了，快翻了五倍了。五倍回调时候，第一个第一不要紧，我讲的是这种就是五倍了，我操就不要进。但是说能不能进，能没问题，你要他妈从2025年1月份等于半年时间翻五倍了，兄弟抵消获利盘太多了。那这辈子说第一个B一能不能能进没有问题，哥们儿你就进，对吧？
	把止损设好，止损设在这是这件B1，设在这个位置上，设在19.8块没问题。那他现在没有破，好像反弹了9%吗？对吧？反弹9%现在在BB线之上也没什么问题，除非说明天攻击一根跌停下来，漏下来，那该止损。但是现在是不是浮盈9%也没问题，就是说出来之后你把止损设好，该该轮轮对吧？
	但是说这位置，比如你让我说，比如我一个仓位10%，我一个仓位10%，你说一个是这个对吧？一个是一个是这个图形底下上来他妈五块到24了，我操翻五倍了。还有一个是这个图形，我买谁？我他妈买坑里的吗？我买坑里的，明白吗？我买坑里的，我肯定买他妈坑里的，就卖卖这种，明白这意思了吗？
	咱们之前那天一直在聊，就是说坑里，现在这坑里。所以今天的第三个部分主题就是要讲什么？就是要讲这个。在坑里面起好货啊。
	我说了，就比如说你看有些人问我说，那个踏的走的就是比您的强说您是因为您的这个真爱才买买您的吗？我说不是，是因为宁的便宜，宁宁子的PB才他妈1.2、1.1，当时都他妈跌到12块了。他1.1，等于说就是他们公司倒闭了不干了，解散，把他们所有账上的固定资产什么的库存全都卖了。
	卖完之后相当于这个人拿一块钱赔1.1块的负债，便宜，沓子好像是PB是四倍，还是三倍？四倍沓子PB是四倍，等于说沓子就值0.25元。但是现在市场给它一块名字是就值1.1块。不，这名字是就值0.25元，市场给他2 2两20.27元五。这应该怎么讲，就是0.275元对吧？所以这边就因为名字便宜，我就喜欢在坑里的。
	比如你看这我就喜欢在坑里的，真的就这玩意儿，你他妈已经这样了就横住了，你他妈这太漂亮了。但是我再说我不是我不是退票，你们别又说我他妈的别好吗？青花不就绚烂了吗？我现在我也不，我的操，没有，别着急。来来可以，来你看是不是这个我就喜欢这种，我他妈就喜欢在坑里的，我就喜欢坑里。
	同时基本面没问题的，确定性很强的。马上08不马上28年奥运会是吧？28年奥运会他妈我认为没什么问问题，要跟红杉签的战略公司是吧？所以当然你们不要不要去追，因为你们没那耐性。
	每次直播只要一直播，或者说白酒三四季度顺周期好的话，三季度快快的快的话快到三季度，慢的话四季度。但是中间又他妈加一个禁酒令，我也不知道会有禁酒令对不对？但是后来你也看到，无论是人民网还是新华社，他也也在也在反复的去去去拉扯这件事情，对吧？最后你也不知道到底是什么意思，然后就感觉是又又怕弄，又又又又又不怕弄，反正就是可能会往后延后。但是说完之后依然有些人重仓单论这玩意儿，那怎么办呢？兄弟怎么办呢？我还能怎么说呢？对吧？
	所以我只是拿这个举例子，我说我就喜欢在坑里找东西，我就喜欢在坑里找，对吧？这他妈这基本面在这儿，PB1.49，你折合成人民币对吧？大概1.11.211 1.2几。他妈最近涨起来，这他妈的很便宜，我操他妈稍微往上挖坑，往往填个坑填到40不行吗？无非是输时间，无非是输输时间，所以踏踏实实的这个不要不要去买，再说一遍，不要去买，因为你们没那个耐性，到时候又又又骂，又什么没那耐心就不要碰，好不好？然后之前是这个，之前我给你们讲。这是我的微博的图，对不对？我就喜欢挖坑的，你看挖坑挖坑，这坑下来之后，是不是低点抬高，不断的在填坑。
	所以就是为什么我的确定性比你们更高高一点，这不是吹牛逼，因为我我我买什么我都给你们微博截图，我都发出来了，对吧？就是这边我的确定性为什么高，是在于我选择胜率更高的标的，而不是像刚才给你们看国泰君安的那种。你怎么办呢？你他妈那玩意儿你没有依据，比如这玩意儿依据什么低点不断抬高，同时这一波起来温和放量，然后缩量是不是缩下来，同时可控核聚变对吧？可供。

（内容由AI生成）
