	Hello哥几个。声音行吗？声音。
	我说的第一波是什么？就是你看非常平稳，保持一个45度或者是哪怕是60度，就是小阳小中阳小阳中阳中阳长阳小阳中阳长阳小阳，就这种一波到满的就埋起来的，这把它当成第一波，把它当成第一波，说这第一波如果要是特别强，对应这个行业足未来足够大潜力的话，那这第一波的进来的机构的实力是很强的。对应说我之前说我上周说我说别追那种前期涨幅过高的回调的一个。第一是在于有些没有这个足够强的基本面，但是被游资或者机构动不动把仨涨停，那这就算了。因为这就属于纯炒概念，属于无论干他的游资还是主力来讲的话，对他长期没有信心，就是短期来凑一波热闹，赚一波快钱。可能他连续888，但他妈三四个涨停，四五个涨停板，然后空空空再洗下来，然后再空空再做一个反弹，做成双头结束说对，但是你去看阿信当时去年7月份那一波是不是小杨小杨中杨小杨是不是？然后扒起来横住，最后蹭蹭蹭来一波拉升。你就可以把这个创新药未来可能说1到2年的一个可能说就是一定概率上的走势，把它看成是阿信那一波短期的中期走势的一个拉长放大版。
	而案例参考案例是谁？是2014年15年的东方财富，或者是2014年的华谊兄弟，他就是会先这么做，第一波已经热起来了，然后结合我上礼拜说，我说这会儿的B1，你你你不要怎么参与，在于他如果起来一波起来很很很长很长角度不高，但是很长的话，他下来回来这一下，他一定是通过时间换空间完成筹码的交换，就大概率完成筹码交换。就是说你可以到这儿以后，第一个鼻翼很别扭，可能你知道吗？他不会走成一个完整的N型，因为它不是锁仓拉升，他只是第一波完成一个从底部别让人老他妈在那么低的价格跟我拿一样的钱的筹码，就是你什么什么水平跟我用一样的电视，对吧？就是他这，纤纤来来来一波但是横在这儿了，这种票就意味着主力要走长线，机构进来之后要等业绩或者等事件，等确认做确定性再来第二波，再来第二波，或者等行情再来第二波，所以你就去看，现在确实创新药第一波真的从底下起来了，基本翻倍了，尤其像娜娜这种，翻倍了。但是所以娜娜起来这一波，我觉得他后面在这位置，他得估计得横一段时间，如果她急着上去，他就没了一波流了，我操。因为他那边刚临床二期，还没有什么更确定的东西出来，我就在这会等反复的整整磨磨，可能会突然间再往下洗一点，或者再不重要了，那就只能反复的磨。
	所以我觉得创造后面有可能是这样，所以我说它是下半年或者明年上半年大家再去看看，再走一波大的流畅的东西。所以这波如果说什么未来明后天或者是下礼拜，如果什么有第一的机会，我觉得他只是一个向上做双头，或者说向上那边就是我整体上，我不是说个别的可能像向上做双头，他只是完成这一波的一个操作。但是因为他的预期已经在那，他的第一阶段的确定性已经在那儿了，他可能不会再这么一下再收回来了，没有业绩的票会一下收回来，对吧？就是所谓的从哪儿来到哪儿去。但是如果这种有确定性的，而且随着阶段一步步确认的话，它是升平台。然后跟着哼哼哼哼哼。
	所以说咱刚才讲的这第三个是肺癌类的，肺癌类的第四类的是什么？是非常非常肺癌类的有有两种，一种是完全从这个药性上世界足够领先的新的创新药。一个是ADC类的药物，是小细胞肺癌，专门针对小细胞肺癌的ADC药物，你们把这个去搜一下，就是小细胞肺癌类的这个可能他未来说他的潜力可能没有那么大，因为它不是完全面向。你就是你们就你们别打出来好吧，咱们就还是延续之前的咱们这种摸索出来的方式，行不行？所以这个一个。
	是一个是普遍。
	的肺癌类的药物，一个是小细胞肺癌的ADC类的药物，大家说这是第三个方向，大家就自己去做功课。再说一遍，不是说现在咱们说知道这个以后就怎么样，就轮家那不是哥们儿，就是少妇战法。所以我说咱们少妇战法什么是基本功？扎马步，先把马步扎好了。所以你会发现后来未来的所有的演变，它都是基于少妇战法。
	这个能讲一下效果吗？哥们儿，现在是问题是人家创新药在他们临那个临床阶段好吗？具体的效，如果你们DP1查，咱们就别耽误时间，你们一查就知道了。那比如说他这个的治愈率是百分之多少，然后有效率超过多少，这你们都可以去查到，咱们这就不展开了好不好？这已经说的非常细了。哥们儿，第所以第三类是肺癌类的，第四类的，第四类的就是已经有点创新药里面DBCG的风格了。
	是谁是麻醉类的？如果咱们这儿有医生的话，你们会知道麻醉类的这个他妈是特别牛逼。麻醉类的，你们应该知道有什么这什么什么波分什么来着？反正我重点看的是還波分。咱们这儿有没有学医的？有或者有没有医生？
	对，麻醉最难搞。你们去找，不是黄盖波汾对，还有个丙丙丙播是吧，环渤氛。它在目前在整个的麻醉创新药里边，它只需要4分之1的剂量，就能达到老的这种它的效果，而且安全性还更高，安全性更高。所以说你们如果说我如果我我说错了，因为我不是医药专业的，我只通过我做功课以及收集各方面的信息的渠那个那个渠道的信息，我给大家做一个汇报。所以如果我哪儿说这种医药太专业了，对吧？所以说如果我有说错的，你们可以指指正。如果说就丙波分，好像是社那个医保，对吧？
	如果说你们要是自己自己如果说去去去医院，自己说需要用麻药的话，加点钱，上环博粉。我操不是粉行吗？我操不是还播汾，我操别闹，刚才有人打出去，这什么就是泊淡泊明智的博，分是一个一个一个这么踏踏实实的行不行？所以说这个环环剥环剥分的效果是更好。4分之1剂量达到老药的效果，同时安全性更高，这个目前来讲就是在世界顶级的，别打个股，踏踏实实的行不行？或者是所有人的利益受损，对吧？
	Up主不推荐任何票，我今天只是跟大家分享一如果你未来病了，需要要去上麻醉的时候，用环保分这是最好的，虽然贵，这是最好的。那这类就是第四类，第五类的是什么？是最近又有特殊的是什么？是胰腺癌。因为胰腺癌是所有的癌症里边致死率最高的。你们要专业的你应该知道对吧？或者是就是你基本上社会也是共识了，基本胰腺癌的死亡率是90%多。
	如果那谁那个那个乔布斯就是胰腺癌，对吧？那乔布斯如果但凡再他妈多活几年，能赶上中国的创新药，没准apple car早就出来了，对吧？Apple car没准就早就出来了。现在弄弄一个库克，那只知道把业绩做得好好的，但是产品创新已经不行了。那在大家一定记住胰腺癌的这个创新，中国已经又往上走了一大步，是哪个呢？有两个，一个是ADC疗法的，有效率超过50%，还有一个什么呢？是有效率不仅超过50%，同时把总的生存期超过11个月以上。11个月. 
	以上。
	叫西奥罗尼西奥罗尼。所以说等于说在胰腺癌这块有两个方向。一个是ABC疗法的也不错，你们去搜一下，一个是西奥罗尼。所以我个人来讲，我分不出这俩玩意儿哪个未来说一定特别牛逼。
	因为世界市场很大，好药肯定也贵。所以说哪个位来说市场占有率能够什么？不是罗比尼奥行吗？踏踏实实的。你们就去搜西奥罗尼，你打开输入法默认的这哥们儿还得怎么不光喂你嘴里，是不是还得喂你胃里，哥们儿给你插管。所以胰腺癌这块大家一定要注意，所以这五个方向是目前中国的创新药里边，就在整个世界范围内，未来非常能打的方向。
	说什么减肥，或者是什么什么脱发，脱发我没我目前中国没有，没有什么像样的，国外也没有，所以人家只能植发，哥们儿就脱发类的没有。所以说就是中国的这把创新药的大发展，这个等于说对于医药界来讲的revolution可能是帮不了您。所以您就再等十年行不行？再等10年脱发了，再等十年，我相信中国一定有人在研究这个。
	所以这五个是什么呢？一个是痛风类的，一个是自免类的，一个是肺癌类的，一个是麻醉类的，还有一个是胰腺癌类的。然后对的，再给大家补充一个第六类，第六类因为我把之前我把自勉的放在那个综合里面了，给大家补充一个。第六类是什么？第六类就是。
	阿尔兹海默症。
	阿尔兹海默症就是老年痴呆，很多人知道对吧？那老年痴呆这块的话，中国有两个方向，但是目前来讲比较领先的。比较领先的，还是一个在中国这边是做代理做代理。所以说这个方面我为什么没把它放在那五类里边，就在于这个目前来讲还得再等一等，就再等一等，现在目前还是说在中国这边做代理的这家公司还行，目前中国这边还没有说一下能把它把它抄了的，这时间可能需要更长一点。所以这个再等一等，所以把它放在目前最确定性的这五大类里边。
	所以如果说你后面有人在炒中国的治阿尔兹，治治这个阿尔兹海默症的创新药，你就要知道更多的去盯住它到底真实的开发进度如何，你要盯好说其他类的什么，比如三抗类的药物，ZG006之前那个抑郁症的ZG001是吧？这叫ZG006。你去研究三抗类的药物，这也还行。这在整个的世界也是领先的。但是他他他这个类别不是特别大，就是对于受众人人群来讲，就是没有没有没有那么没有那么共识。ZG006你们可以搜一下。这种三抗多抗的，你们去搜一下。但是我觉得他可能未来不是说这一波中国创新药的一个核心标的，我觉得可能不是这个，因为最终还是要看整个它未来的市场，然后你会发现为什么这里边我没有缇娜娜，抑郁症我为什么没有缇娜娜？是在于以目前来看，娜娜他未来业绩就算释放。

（内容由AI生成）
