	来测试一下声音行吗？画面来了声音行吗？
	为什么？你要看资金的态度，增量资金不知道怎么看，我都后面我我都我都会讲到。你就看增量资金，增量资金这边分什么？分好几种，我说两个最最主要的。一比如你们经常所有人都都知道的所谓的降息降准，就是市场放水M1M2这些数据都非常的简单。那另外一个最重要的什么？是到底有多少钱可以进到市场里边，有多少钱进到市场里边，或者进到某个票里边，这是最重要的。所以两个维度，就比如说其实咱们这半年走势别牛牛一直别别扭扭，但是同时又一直说的是适度宽松的货币政策，那怎么还这么别别扭扭呢？因为上半年咱们放的所有的水都是优先的流向了解决地方债，都是先划债用的，而这些并没有这些钱在还债的途径当中，还在解决历史遗留问题，所以根本就没有怎么进入到大A的市场。
	随着大A市场一直就在9000亿到1.5万亿之间，场内资金加一小部分外资，然后再加一小部分的场外资金，或者持续流入的场外资金，小部分的在玩这个市场。所以就看为什么大A目前没有像去年9241样来挺起来一个一波。为什么？因为没有钱，没有增量资金，结果我每个礼拜都跟你们说没有增量资金，没有增量资金不要抱有不计时间幻想，起来就卤煮谁谁敢涨就卖谁啊，谁敢涨就卖谁。所以择时宏观上的择时，一经济周期，二政策指引，三增量资金，第四是什么？
	第四，就是这个。
	入场时机偏微观，下面的入场时机什么意思？就比如说去年924很明显，924925、926927。比如咱说这几天连续大幅的增量资金入场，大的机构入场，把什么国泰，什么什么中阿信，直接封板櫈板。他妈的这么多的钱来，你说你要追80月8号，你能追了，10月8号10月9号你你追了你追了。你说有没有经济周期对不对？
	对，确实是到宽松周期的一个转折点了。政策指引有，发布会也开了，然后增长资金也有，也很很明显也有。但是你他妈10月8号10月9号进的那然后你又没看我直播，你不知道还有第二波，对吧？熄火。所以这就是入场时机，入场时机。
	所以针对去年924，咱家的次新粉，924之后算次新粉924之后你们回来，你们能够账户能够扭亏为盈，甚至能够赚钱。为什么？因为你知道我当时给你们强调的做第二波，所以咱们当中很多资金玩时间是最好的朋友，能够留下来，然后能够逐渐认可，能够去那什么就是因为你做到了第二波那第二波是什么？就是入场时机。
	那入场时机是什么？非常简单，少妇阵法第一就是B1，就是B1。说未来比如说能够连续拉升过程，然后再回调，然后再接拉升，再回再拉升，后面的那个阶段流畅阶段可以做B2。但是我说了没到那个时候，现在教B2等于害你。什么叫B2？B2就是比如那天赛赛登记一个板儿，然后把一平台都突破了。如果那要是流畅阶段的话，后面没有4分之1音量线，八一把上去，那叫比二特噗。你可以做，但是现在都不要做，反而是应该减仓的时候。
	第一就是勾到大赋值，日线勾到大赋值，或者周线的勾到大赋值，所以说择时重点是这四个。这四个来讲的话，经济周期我觉得只要不是大大，只要不是大傻子，就正常的。应该你只要你看到关财经的新闻，你都能知道现在是什么，处在什么周期。如果实在不知道，你听我直播就完了。很简单，政策指引，大家现在整个的一个信息的不对称性明显是降低的。大家都有什么各种的APP对吧？都会随时推送。我觉得现在是中国就是全世界最懂政策的就是中国人实话实说，就包括咱们从小上的政治课，什么什么那个那个历史课，美国根本就没有，英国什么根本就没有人。他妈历史人家也不学人他妈选修，人家更更没有什么政治课，就所有人都要学政治，还要考政治。
	没有，就咱们中国真的是我觉得是是真的是想让明智开的正儿八经是想让每个人有一些逻辑的。你跟美国人去聊，你看为什么老外很开心，就在英国留学的时候，或者是平时出差，像老外很单纯很开心，为什么？就在于他们是极少数的精英治国就是一个特别聪明的人，统治一帮大傻子，你知道吗？咱们国家为什么咱说就是很不容易，就在于一个特别聪明的人统治一帮特别聪明的人。就这意思，就是说中国人很聪明，中国人逻辑自古对吧？就是每每个人都是都懂什么叫那什么叫政治，但老外老外很老外真的很傻。所以我说你政策指引中国人都能看得懂，所以咱们就不要这块你你你不要说你不知道不知道，你稍微看看巴拉巴拉新闻你就知道。中国在这方面是非常开放的那每个人都有获取足够政策信息的这样的途径。
	第三增量资金这块，我后面我会告诉大家，找一找几个非常简单的指标，你就可以看到。第四入场时机，少妇战法已经教过了，就按照这个去找，大盘上就去找就完了，大差不差。那烧服战法的第二是什么？是选股。选股先看什么？看政策，看政策这就不多说了，155145对，十三五、十二五、十一五、15，政策未来十五五给你划定下来，2025中国制造，当时给你划进来的那十大行业，对吧？这都非常非常也是非常公开的信息。
	然后这个政策完了以后是什么？是看行业看行业，看行业，行业就是非常简单。比如说过去十四五新能源对吧，光伏对吧，光伏是最早交卷的，新能源是咱们最后一刻这交的卷，对吧？然后还有什么其他的这些高端制造芯片，这卷没有其实没有交的特别好，所以放在15他接着交卷。这叫行业。
	行业完了后是什么？是看龙头公司，就是这个行业里边的龙头公司是什么走势？很赶赶赶紧去，悄悄的从后门走。比如说说白酒，白酒那就是台子，就是阿武对吧？说游戏那就是逊，那就是E对吧？那就就就就是这些你说手机，华为米儿OPPO就这些，然后你说这个重工行业，徐工三一是吧，玻璃福耀就这些就都是属于找龙头公司。如果说你这个行业里面龙头公司走的都已抛弃，走都完全就是一抛弃，那他妈就不要看了，就没有意义，所以这个就是看龙头公司农村完了以后看什么？
	要看有没有人搞，这是很重要的。就比如说我说了我的名字的逻辑是什么？名字的逻辑就是我他妈认为它足够便宜，然后同时我充分了解这家公司，同时我在对比行业，所以我拿它当我说的两三年再说，不用看，不着急。它是一个估值修复过程。所以如果你要单纯从选股层面去看的话，对于绝大部分百分百或者90%人没必要。
	为什么？因为首先是政策支持？政策确实是支持的，包括出一个体育产业投融资的那个政策是支持的，但是又没有明确支持对吧？没有说国家我给你国补，没有。但是消费电子是不是国家国补，家电是不是国家国补，对吧？
	那你说名字在运动行业没有国补，所以政策方面一般，一般只能它是一个中性偏偏多的一个就是中性偏偏正面的一个影响行业。你看nike都跌的一抛弃了，对吧？阿迪一直也半死不活，然后中国又碰见一个通通缩，外加经济下行，你说他妈的这个就是消费行业一般对吧？一般，而且是相当于是负面，其实是负面。
	然后龙头公司它是龙头，但是他跟沓子都是龙头。沓子因为是多品牌运营，整个体量还比名字要多很多，对吧？所以但是他名字在跑鞋跟篮球鞋里面肯定是龙头，而且从整个中国的运动品牌认知也是龙头，这没问题对不对？这没问题。看资金没有纯左侧，所以等于说如果从选股层面来讲，123都不支持，那么对于绝代人来讲就没必要碰。
	所以我碰的逻辑是什么呢？就是最后一个就是估值估值估值什么意思？就是你看这第四点有没有资金搞，比如说华纳，就是非常明显的，我告诉大家了，很明显有一帮大哥进来了，有一帮机构已经进来了，对吧？
	那么有有资金，但是你说您没看见资金天天缩量，没看见。但是之前咱们客观说，他从13块钱挣到19块多的那一波40%的过程当中，跟当时兴业银行的那边那个渠道进来的那么多有没有关系？然后包括现在它下面没有反应，但是同时量又缩了，几乎筹码是停停锁锁牢了。那他在哪儿对吧？它在哪儿？Where is that? 对不对？不知道，但是你看估值来讲的话，足够便宜。
	所以我的逻辑更多的还是看行业，不看看政策，行业龙头公司和估值。而资金这块后面自然我相信会来的。所以我说这个名字对于我来讲是我个人的一个偏执，是我个人的一个认知。
	但是从未来比如说咱拿创新药来讲，比如说拿娜娜来讲，那那政策？国家引领创新药投资对不对？然后行业又是一个抑郁症的这种行业。抑郁症中国号称有1亿，至少1亿到3亿抑郁症患者，一亿是其实很严重的，但是他们不去医院，他不看，对吧？
	但是这行业也没问题，就跟就跟当当就跟当时十年前的HPV行业一样，你就当时说中国有7亿女性，7亿女性，然后加上老人小孩打打不了，中间过他妈多少岁打不过，45岁的不用打的，中间有大概一掐完两亿女性能打，两亿女性一人一针。不管你你是你你是4价的还是8架的，还是什么什么，这你这做完之后，行业不错为可以有5年到8年的高速增长期。所以当时志飞不就起来了吗？对吧？所以行业创新要抑郁，绝对大行业，龙头公司说实话好几个，但是老的就那些了。但是现在新的公司反而更更有潜力，因为它没有什么副作用，同时疗效也从实验的一期来讲还是不错的。所以龙公司你就找新龙头跟老龙头。
	那资金刚才说了，第一波大哥已经进来过一波了，对吧？大哥玩过一波了。大哥已经玩了一波了，所以就等后面B一就就就行了。估值这是什么估值？对于主题投资来讲可以放一放。怎么等于说就是说你没法给他一个价格，你没法给他定定这个。你没法给他一个非常完美的一个定价，多少定不了，所以就是下芝麻炒一波，沦到哪儿就是哪儿了，轮到哪儿就是哪儿，这个你们应该特别熟悉，对吧？
	就是刚才说了一波，大哥进来，大哥进来放量，你看连续起量对吧？连续放量空机缩量下来。我就是在这儿宣的，我在这个位置宣的，我创新药抗抑郁进二期对吧？
	第二期你看一天，这是一天两天、三天、四天、五天、六天，到这儿其实有四天的时间，12三四天时间的对吧？你把这根下面这块设成止损，或者是你就算是这块设止损，这天也没破，对吧？没破，拿拿着拿着拿着拿着拿拿着拿着，这不就起来了吗？对不对？这他妈一根都是12%，12.94%，对吧？你这波这么扒就起来了，起来了。所以这个对他来讲就属于什么？就属于政策行业龙头公司加资金加资金后面估值就不要看了。
	然后来第三，少波战法，第三是什么？打出来第三是什么？Shop上海第三是什么？
	等比一对等比1，这块就会有几个细的点，是什么？等第一刚才说了主题投资等日线B1。主线投资。
	主线等什么？首先优先是等周比，比如说台子邰子周比一是特别牛逼的。你去看看历史，上台子周比一很牛逼，队长周比一，这就是主线等粥比1。如果你能感到粥比1跟日比一共振，那更再好不过。但是主题的话就别他妈看周线了，就别闹了，踏踏实实的。主题投资就是一波流，比如说娜娜就一波流起来就就起来了，没没没起来就他妈熄火了，就不要他妈再说。起来之后，比如说成飞集成、光线传媒，说我还要等连续他妈十个晚上起来了，我还要等让他们回调到周线B别闹了，这什么叫主题纯炒作，概念炒作，别等周线。
	主线等鼻翼。或者是咱要咱先聊少妇，少妇就是这个，少妇就是这个。第四是什么？第四是什么？打出来。第四。
	有人说怎么判断主线还是主题？哥们儿我刚才讲了20分钟，回头看一下回放。对，设止损也就是上套，带套把套带好了，这个袋子对吧？把套带好设止损，就是你这块儿咱要说到N型结构，算这太太粗俗了，毕竟是落实到纸面这直纸面了，这太粗俗。
	第一个设止损位，就是单根K线下面最低点下面找一个位置。碗小的设在最低价下面2到3个价位，碗大的可以设多一点。相当于你不会盘中一下崩击，或者说当天尾盘一个意外给你洗走了，所以就单根K线最低点下面多少自己设，自己设或者是N型结构上一个低点。也就是说你发现你这根儿入场的B1，它的最低点靠近你之前的N型结构的最低点了，那你就可以索性把它放在之前的那个位置上。咱比如说拿这张图举例咱拿这张图举例，比如说你看你是比如说比如说你今天没看见，比如到这儿到你是这根进的，比如说咱随便举例，你这根进的网价止损就到这儿，但是你一看我他妈不如放在之前N型的。比如你这根进的，最新这根进的当然不追，咱只是举例子，哪块漏了我看看哪儿。给它封上。
	哪，咱们严谨点。
	是这儿吗？右边黄字上面OK好是这吧，给它封住了，太他妈丑了。ugly. 来来，比如说你看，比如你这根筋的，咱就说你这根筋的，咱说了，你这附近可以没有问题，反正你就只收一根。这根筋的话，你把止损设在这儿，设在29.82块，你可他妈你考虑这是个N型结构，人家要再做一个小结构。

（内容由AI生成）
