	特别的像。
	而但这种票的危险在于它，你要等它的连续上涨的那种大长阳，连续上气不接下气的那种拉升，就是最后斜率变陡，它就是加速出货了，目前来讲看不到。我觉得志在长远，我他至少现在到他们历史前高这位置，那他就非常漂亮，这就让我们一看就他妈非常漂亮，就是很有节奏。但是这是事后看啊，你要是事中看，比如说你在这个位置的时候，散户很多散户就觉得他妈气装了，出货了，出你妹货根本就没有量出毛货。那咱们的这个天眼一扫描，怎么没有出货，踏踏实实在这，对不对？这是一个。
	然后看一下历史上神车历史历史数据历史数据，神车当年就是多牛逼，咱们说他这儿我记得清清楚楚。
	这是当时的神车，神车在这儿起来。当时是14年年底，整个的盘面就是市场人气特别高。然后这一根向上特铺，看见没有？向上特铺这块我强调一下，向上特铺之后第二天这儿是个平亮，这就不是4分之3了。记住一定是两个条件满足一相当于平量，平量之后收10字星。十字星的目的是什么？是多空平衡，多空平衡，然后则又平量又平衡，不要把它当成是当成4分之3来看。你们要以后做票做多了，会经常看到这样的图形，还好就问问问题不大，一定要把它看成是平量加十字星。
	现在事后来看，这他妈就是有跟就是有有他妈老老鼠仓吗？机构买的老鼠仓，老鼠仓买买买完之后，但是这有一个洗盘动作，这有洗盘动作看了吗？然后这收回来了你就可以进。
	然后事后来看，这仅仅是地平线，这个仅仅地平线后面就宣布合并了，对吧？地平线到这儿把很多人给洗走了，但是当时我的粉线的话，依然范特西亚。你看大负值，依然范特西。你说这你就看这个依然在买，大哥依然在买吗？大哥就是买，大哥不说话，大哥就是买你要大哥，大哥就是砸。你看一直到这儿，到这儿，我操的，是不是刚才地平线，是吧？是四块。
	直接半年时间37，别着急，你们以后也能遇到这种票，就是大A每十年封一次。你们也回头可能到时候可能是什么中国神券，或者什么其他的，你们也会遇到。别着急，你看大哥出不去货，大哥就只能横，大哥出不了货就横。然后这是改名字了，等于说是利好完全彻底兑现。
	这天改名的，然后大哥开始，大哥们开始抢着出货，抢着出货，古代抢着出货，抢着出货，从这位置就都是出货。所以说就真正的麒麟荟，他在这个位置是很难出去的。比如说这是一顶了，它在这个位置是很难出去的，在这个位置是很难出去的，顶多只能出一部分。真正的出货就是压着卖拉出，其实这波他没必要再做了，这波他他不做也可以，他做这波就是为了要出货，等于说其实豆豆出货的一个环节就在这边，就比他稍微贵了一点。然后这就是拉升出货，所以后面你看就屁滚尿流。这儿基本上就都出完了，就除了所有炒作睫毛，该割肉都割肉了。割肉完了以后，他们就横在这儿了，没也没人买，然后一点卖盘又往下，又往下，你就屁滚尿流了，这就屁滚尿流。
	同期这个特别牛逼。
	这是当时的长江证券，连续三根起来巨牛逼。当时说三脉有三脉，只要这根出来之后面还有30%。然后你可以看到是这块一直在在加，这块一直在加，包括这块出来之后，可以把它理解为也是一个小小出坑，你从这看也行，也无所谓，然后这块后面就找机会。就凡是回调，这也就是有些人跟你说，只要什么上涨，连续上涨途中回，只要回调，就是倒车接人。记住什么叫倒车接人，你们要看macd的话，就是dif白线在零轴之上连续回调不破零轴勾大幅值，这叫倒车接人。但是要有这个的话，其实你就知道这他妈叫倒车接人倒车接人，倒车接人，对吧？
	接一二接了三次，更再起来，后面差了100上去了，看到了吗？你们别着急，你们以后也能遇到这种票。这儿出不去，再再接着横，然后很多盘还在来。但是这块你看这块股灾期间，当时匡哐哐就跟着他妈一直出货，出货，反弹也不行，就接着就一直就屁滚尿流了。然后当时这钱挣的有点不好意思，当时这确实那会儿挣的有点不好意思，这是在14年10月24号，14年10月24号。接力。
	对，你看你们就要找这种图形起来，你看就连续的连续正儿八一波起来，然后回调不要害怕，不要害怕macd看到没有？DF0轴之上不要害怕，然后勾大幅值-17，我操发财了，发财了，然后这发财了。然后不给止损机会，打不到止损机会打不到车，止损打不到就乱七八上去了。就是非常快的时间，两个月5块到13特别快。后面这位置其实都是一个倒车接人，荡气回肠。然后这是当时的腰鼓，你们很多人应该知道，疾风农机当时的腰鼓。
	这。
	也是你看安美起义，一直是零轴之上，白线低点不断抬高8，大幅回调勾大幅值-10.42。也是很很快乐很快乐。这也是当时的大腰鼓，我们当时做的天舟，这真牛逼，现在他妈的，没这激情了。
	来，你看这是什么？从这儿开始建仓对吧？虽然下跌，但是一直在接散户的筹码，看到了吗？在接散户的筹码，又加了一波仓，回调下来连续缩量钩大幅值-4.13，对吧？这他妈直接就来了。这他妈直接就来了。还有一个上海钢，联想起来当时做的。这也是这他妈太牛逼了，这真的这太牛逼了，这太牛逼了，尤其在这个位置，你看这个位置太牛逼了不给你任何思考的机会，就当年的大牛股。
	然后拿这个例子你们去看一下，就是跟国家队在一起，就是这种程度，汇金一直在买，就买成这种效果了，对吧？四大行就是从从这个二三年开始，第二轮增持开始，我操从3.5块直接到7.34块，这几年直接起来嚼起来。反例有反例有一会儿就会讲，别着急。就是等于是与国家同在，就是这样了。
	然后咱们看一下刚才说无桩的案例是什么，就是跟山西交换，是不是屁滚尿流，屁滚尿流要牛。你看他妈太抠了，太抠了。然后地产也是都是这样的，地产不要碰，没有意义，这个反弹不吃也罢。然后又又一又一山山西的是不是山鸡有不碰？然后你看白酒来了，洋河机构比咱们早早就知道业绩，看到了吧？所以在这个位置的时候，人就已经一直在卖了，人家比咱早就知道业绩，人头也不回，一路向南，一路向南，头都不回，看到了吗？头都不回。
	所以它跌停之后，那天业绩出来之后，连他妈有人抢散户抢反弹或者游资抢反弹，以为抄上底了，打折了。那么第十八层地狱下面还有十八层地狱看了吧？还有，所以你这边就比较熄火，比较熄火，所以这就一时半会儿没戏，洋河就没戏了。所以为什么梦六家的那个龙年限定都已经578了，是吧？
	所以这就就很一般，所以咱们借借这个，你看一下这个白颈鹿班鼎鹿台子，台子班鼎鹿就是边牧是边牧，狗是狗，边牧是边牧。你看在这位置也有人走，禁酒令出来之后，确实有人走，看的非常明显对吧？但是你再走，还有大部分人在给你锁在在锁仓，所以它整体上就会比其他的要强很多，对吧？然后你看看另外的这个，这他妈就有点问题了，有点问题。所以他是不是你一看图就没有边牧那么硬，对不对？你看图就没有边牧那么硬，有点像吗？像大爷图是不是？如果八天向下破位，漏了123止损位，123这个平台漏了一个M顶出来之后，那他们。
	就一就11 100了。
	就奔100去了。100在哪呢？100在这前低了，就奔前低去了。就是我所以我之前跟你们讲，我说这个捂子的没有，我说这个555的没有什么机构进来。当时我不讲了，我说五的没什么机构。

（内容由AI生成）
